owner,name,type,message
gitstua-labs,the-ruw-store,repository-actions-workflow-runs,"This repository has 31 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,the-alpha-service,repository-actions-workflow-runs,"This repository has 36 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,the-bravo-service,repository-actions-workflow-runs,"This repository has 4 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,the-charlie-service,repository-actions-workflow-runs,"This repository has 41 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,workflow-samples,repository-actions-workflow-runs,"This repository has 27 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,ourdiscussions,repository-discussions,"2 discussions have been created on this repository, which will not be migrated."
gitstua-labs,repo-ruleset-play,repository-actions-workflow-runs,"This repository has 4 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,repo-ruleset-play,repository-tag-protection-rules,"This repository has one or more tag protection rules, which will not be migrated"
gitstua-labs,june23repo1,repository-secret-scanning-alerts,"This repository has one or more secret scanning alerts. These alerts and their states will not be migrated, so it is likely that the same secrets will be detected again, and then you'll have to resolve them."
gitstua-labs,june23repo1,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,node-js-sample,repository-actions-workflow-runs,"This repository has 14 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,node-js-sample,repository-code-scanning-analyses,"This repository has one or more Code Scanning analyses, which will not be migrated"
gitstua-labs,node-js-sample,repository-code-scanning-default-setup,"This repository has Code Scanning default setup configuration enabled, which will not be migrated"
gitstua-labs,package-npm,repository-actions-workflow-runs,"This repository has 3 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,package-nuget,repository-actions-workflow-runs,"This repository has 6 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,package-docker,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,owasp-top10-demo,repository-actions-workflow-runs,"This repository has 15 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,owasp-top10-demo,repository-code-scanning-alerts,"This repository has one or more Code Scanning alerts, which will not be migrated."
gitstua-labs,owasp-top10-demo,repository-code-scanning-analyses,"This repository has one or more Code Scanning analyses, which will not be migrated"
gitstua-labs,owasp-top10-demo,repository-code-scanning-default-setup,"This repository has Code Scanning default setup configuration enabled, which will not be migrated"
gitstua-labs,owasp-top10-demo,repository-dependabot-alerts,This repository has one or more Dependabot alerts which will not be migrated
gitstua-labs,owasp-top10-demo,repository-webhooks,"This repository has 1 webhook. These will be migrated, but they will be disabled by default, and their secrets will be wiped."
gitstua-labs,ARCv2Demo,repository-actions-workflow-runs,"This repository has 9 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,ARCv2Demo,repository-codespaces-secrets,"This repository has 1 GitHub Codespaces secret, which will not be migrated"
gitstua-labs,ARCv2demo-testrunner,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,block-package-dependency,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,github-toolkits,repository-actions-workflow-runs,"This repository has 3 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,nodejs-express,repository-actions-workflow-runs,"This repository has 13 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,base64-custom-pattern,repository-secret-scanning-alerts,"This repository has one or more secret scanning alerts. These alerts and their states will not be migrated, so it is likely that the same secrets will be detected again, and then you'll have to resolve them."
gitstua-labs,actions-debugging,repository-actions-variables,"This repository has 2 GitHub Actions variables, which will not be migrated"
gitstua-labs,actions-debugging,repository-actions-workflow-runs,"This repository has 4 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,test-with-actions,repository-actions-workflow-runs,"This repository has 5 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,gei-demo,git-submodules,"The repository seems to use Git submodules. If you are migrating the Git repositories used inside this repository, you will need to update the reference(s) to point to the new location(s)."
gitstua-labs,gei-demo,repository-codespaces-secrets,"This repository has 2 GitHub Codespaces secrets, which will not be migrated"
gitstua-labs,calculator-service,repository-actions-workflow-runs,"This repository has 43 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,actions-demo,repository-actions-secrets,"This repository has 1 GitHub Actions secret, which will not be migrated"
gitstua-labs,actions-demo,repository-actions-variables,"This repository has 1 GitHub Actions variable, which will not be migrated"
gitstua-labs,actions-demo,repository-actions-workflow-runs,"This repository has 6 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,actions-demo,repository-code-scanning-analyses,"This repository has one or more Code Scanning analyses, which will not be migrated"
gitstua-labs,actions-demo,repository-deployments,"There are 21 deployments on this repository, which will not be migrated"
gitstua-labs,actions-demo,repository-environments,"There are 5 environments on this repository, which will not be migrated"
gitstua-labs,custom-pattern-demo,repository-secret-scanning-alerts,"This repository has one or more secret scanning alerts. These alerts and their states will not be migrated, so it is likely that the same secrets will be detected again, and then you'll have to resolve them."
gitstua-labs,demo1,repository-actions-workflow-runs,"This repository has 6 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,demo2,repository-actions-workflow-runs,"This repository has 2 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,hello-actions,repository-actions-workflow-runs,"This repository has 2 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,secret-scanning-demo1,repository-secret-scanning-alerts,"This repository has one or more secret scanning alerts. These alerts and their states will not be migrated, so it is likely that the same secrets will be detected again, and then you'll have to resolve them."
gitstua-labs,bank-calculator,repository-secret-scanning-alerts,"This repository has one or more secret scanning alerts. These alerts and their states will not be migrated, so it is likely that the same secrets will be detected again, and then you'll have to resolve them."
gitstua-labs,bank-calculator,repository-actions-secrets,"This repository has 1 GitHub Actions secret, which will not be migrated"
gitstua-labs,bank-calculator,repository-actions-workflow-runs,"This repository has 79 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,bank-calculator,repository-code-scanning-alerts,"This repository has one or more Code Scanning alerts, which will not be migrated."
gitstua-labs,bank-calculator,repository-code-scanning-analyses,"This repository has one or more Code Scanning analyses, which will not be migrated"
gitstua-labs,bank-calculator,repository-deployments,"There are 315 deployments on this repository, which will not be migrated"
gitstua-labs,bank-calculator,repository-environments,"There are 3 environments on this repository, which will not be migrated"
gitstua-labs,bank-calculator,repository-forks,"This repository has one or more forks. The forks will not be migrated automatically with this repository, and if they are migrated separately, they will no longer be connected to the parent repo."
gitstua-labs,bank-calculator,repository-rulesets,"One or more repository or organization rulesets apply to this repository, which will not be migrated"
gitstua-labs,repo-rulesets,repository-rulesets,"One or more repository or organization rulesets apply to this repository, which will not be migrated"
gitstua-labs,actions-url,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,actions-url,repository-deployments,"There is 1 deployment on this repository, which will not be migrated"
gitstua-labs,actions-url,repository-environments,"There is 1 environment on this repository, which will not be migrated"
gitstua-labs,webhook-alternative,repository-actions-secrets,"This repository has 1 GitHub Actions secret, which will not be migrated"
gitstua-labs,webhook-alternative,repository-actions-workflow-runs,"This repository has 28 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,webhook-alternative,repository-deployments,"There are 15 deployments on this repository, which will not be migrated"
